Sample;SITE;Awayvsclosetoreef;SmallvsLargemetacommunity;Metacommunityrep;acaro3;M10;M15;Amphipoda1;Amphipoda15;Amphipoda17,Amphitoerubricata(cf);Amphipoda2;Abludomelita obtusata;Amphipoda25;Amphipoda26,Ampeliscidae;Amphipoda7;Amphipoda8;Aoragracilis;Apherusajurinei(cf);Dexamine spinosa;Ericthoniusdifformis;Ericthoniuspunctatus;Gammarellafucicola;Jassafalcata;Maeragrossimana;Phtisicamarina;Pseudoprotellaphasma;Caprellaacanthifera;Caprellalinearis;Thalassosmittiaatlantica;M13;Copepoda4;Copepoda1;Copepoda2;Copepoda3;Decapoda1;Decapoda2;Decapoda3;Decapoda4;Decapoda5;Decapoda,santola;M7;Macropodiasp.;Paguridae;Pagurus2;Diastylissp.;M9(larvaequinoderme);Ophioctenaffinis;Ophiuridae1;Ophiuridae2;ourico1;ourico2;ouricobranco;Diplecogaster;Peixe2;Foraminifera1;Foraminifera3;Foraminifera4;Alvaniaangioyi;Alvaniacancellata;Bittiumnanum;Caecumwayae;Gastropoda1;Gastropoda12;Gastropoda8(achoqueeTricolia);Gibbulamagus;Jaeropsisbrevicornis;Jujubinuspseudogravinae;Lamellariaperspicua;Manzoniaunifasciata;Microprotopusmaculatus;Nassariuscuvierii(cf);Nassariusrecidivus(cf);Odostomiabernardi(cf);Omalogyraatomus;Philinesp.;Raphitomasp.;Raphitomasp2;Raphitomasp.3;Retusatruncatula;Rissoelasp2(cf);Setiasubvaricosa;Solariellaazorensis;Tricoliapullusazorica;Trophonopsismuricatus;Anthuragracilis;Dynamenebidentata;Gnathiamaxillaris;Janiropsisbreviremis;Polychaeta1;Polychaeta12;Polychaeta15;Polychaeta16;Polychaeta17;Polychaeta18;Polychaeta19;Polychaeta2;Polychaeta20;Polychaeta21;Polychaeta3;Polychaeta5;Polychaeta8;Euphrosinefoliosa;Nereidae;Nudibranchia1;Nudibranchia2;Nudibranchia4;Nudibranchia5;Nudibranchia6;Oligochaeta2;Oligochaeta3;M11;M14;M19;M6;Lepidogaster/Diplecogaster;planaria;Acheliaechinata;Callipalleneemaciata;M1;M20;M3;M4;M5;M8;Leptocheliacaldera;Paratanaismartinsi;Tanaisgrimaldii;M12;M18;M2;M21;M24;B4;B5;Chlamissp.;Chlamissp2;Erviliacastanea;Limariahians;Papillicardiumpapillosum;Bryozoa1;Bryozoa2;Bryozoa3;Bryozoa4;Bryozoa5;Bryozoa7;Bryozoarosa;Crosta3;Cnidaria,Anthozoa;Spongia;Grantiasp.;Syconsp.;Annelidaew/otube;Spirorbidae;Tubeworm
s21;site 1;Close;Large;1;0;9;0;341;65;89;1;0;0;0;37;0;1;21;1;0;117;13;109;9;89;0;0;25;0;1;0;5;4;0;1;0;4;0;0;0;0;4;0;0;33;0;21;0;0;0;0;0;0;0;21;0;0;0;0;5;0;4;0;0;0;21;9;0;4;29;0;0;0;0;0;0;0;0;5;1;21;0;61;0;5;0;0;5;5;0;0;0;0;9;5;0;0;9;13;0;0;0;57;0;0;4;12;0;5;5;0;5;0;4;1;9;45;29;0;0;0;1;0;0;4;17;9;0;5;0;0;0;0;5;1;0;53;5;5;61;17;16;5;0;33;77;0;5;0;0;9;0;0;37
s22;site 1;Close;Large;2;4;1;0;170;170;21;0;2;0;0;13;11;0;12;7;0;31;44;1;4;202;1;0;45;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;31;1;9;0;0;0;1;0;0;0;18;2;0;2;0;1;0;0;0;0;0;19;0;0;1;0;0;0;0;2;0;0;0;0;0;1;3;1;7;0;24;2;0;0;0;2;0;0;1;1;2;0;0;2;12;0;0;0;25;0;0;2;0;0;1;20;0;1;0;3;0;5;5;7;0;0;0;0;0;0;1;16;26;0;1;0;0;0;0;2;0;0;44;44;5;4;0;4;0;0;2;2;0;2;0;3;5;0;0;42
s23;site 1;Close;Large;2;0;0;0;21;37;12;2;0;0;0;6;0;0;14;0;1;5;49;26;3;55;0;0;14;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;6;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;1;0;0;14;7;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;20;0;12;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;21;0;0;0;0;0;2;19;0;0;0;2;0;1;8;1;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;1;0;0;46;61;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
s24;site 1;Close;Large;2;0;0;0;148;30;64;0;0;0;0;12;8;12;8;4;0;20;36;16;8;72;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;56;0;20;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;12;0;48;4;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;28;0;0;0;0;0;1;12;0;0;0;8;0;1;28;4;0;0;0;0;0;0;0;8;12;0;4;0;0;0;0;4;4;0;56;64;0;16;0;0;4;0;68;36;0;1;0;0;12;0;0;68
s25;site 1;Close;Large;3;0;0;0;117;105;89;0;0;0;0;9;1;1;29;1;1;69;17;21;1;97;0;0;25;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;5;0;1;0;0;0;0;0;0;0;4;1;0;9;0;5;5;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;21;0;0;1;0;0;0;9;0;0;0;0;0;1;17;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;33;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
s26;site 1;Close;Large;3;0;0;0;114;82;19;0;0;0;0;0;0;5;4;7;0;62;28;32;0;70;0;0;13;1;2;0;3;0;0;0;0;0;0;0;0;2;0;0;0;11;0;5;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;0;6;0;10;2;0;0;0;0;0;0;0;0;2;0;2;0;7;0;0;0;21;4;0;0;3;1;0;15;0;2;1;1;0;10;29;6;0;0;1;0;0;0;0;2;10;0;0;0;0;0;3;3;1;0;60;16;11;0;0;0;0;0;0;0;0;1;1;0;0;0;6;28
s27;site 1;Close;Large;3;0;0;0;89;101;17;0;0;0;0;9;5;17;5;8;0;29;5;41;0;21;0;0;33;0;0;0;0;0;4;5;0;0;0;0;0;5;0;5;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;5;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;9;4;0;0;0;0;13;25;0;0;0;4;0;1;45;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;9;13;0;0;0;0;0;0;5;0;0;5;0;0;5;0;0;1
s28;site 1;Close;Small;1;0;0;2;45;1;22;0;0;0;0;1;2;1;1;1;0;19;11;64;5;90;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;6;0;0;1;0;3;0;0;0;0;1;1;0;6;0;7;0;2;0;0;0;0;0;0;0;0;0;1;0;11;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;2;31;6;0;0;0;0;0;0;0;2;3;0;0;0;0;3;0;0;0;0;1;2;0;1;0;1;2;1;0;1;0;2;0;0;0;0;0;2
s29;site 1;Close;Small;1;0;0;0.5;32.5;2.5;12.5;0;1;0;0;2.5;0.5;2;0.5;0.5;1;10.5;4.5;28.5;2;94.5;0;0;36.5;0;1;0;0;0;0;0.5;0;0;0;0;0;0;1;6;0;0.5;0;0;0;0;2.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;2.5;0.5;0;0;2.5;0;0;0.5;0;2.5;0;0;0;0;0.5;0.5;0;3.5;0;4.5;1;0.5;0;0;0;0;0;0;0;0;0;0;0;8.5;0;0;0.5;7;0;0;0;0;0;0;0.5;0;0;0;2;0;0;16.5;6.5;0;0;0;0;0;0;0;4.5;0;0;0;0;0;2;0;0;0;0;5;10;0;2;0;0;3;0.5;0;1;0;0;0;0;1;0;0;0.5
s30;site 1;Close;Small;1;0;0;1;65;5;25;0;0;0;0;5;1;0;1;1;0;21;9;57;4;189;0;0;73;0;0;0;0;0;0;1;0;0;0;0;0;0;1;9;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;0;1;0;5;0;0;0;0;0;0;0;1;0;9;0;1;0;0;2;0;0;0;1;0;0;0;0;17;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;33;13;0;0;0;0;0;0;0;9;0;0;0;0;0;4;0;0;0;0;9;5;1;4;0;0;0;1;1;1;0;4;0;0;0;0;0;1
